english	translation	category	sub_category	source
All	全部	interface	chatButtons	
Game 	游戏	interface	chatButtons	
Public 	公开	interface	chatButtons	
Private 	私密	interface	chatButtons	
 On	开启	interface	chatButtons	
Channel 	频道	interface	chatButtons	
Clan 	战队	interface	chatButtons	
Trade 	交易	interface	chatButtons	
Group 	组队	interface	chatButtons	
 <colNum0>Autochat</col>	<colNum0>自动聊天</col>	interface	chatButtons	
 <colNum0>Friends</col>	<colNum0>好友</col>	interface	chatButtons	
 <colNum0>Filtered</col>	<colNum0>已过滤</col>	interface	chatButtons	
 <colNum0>Hide</col>	<colNum0>隐藏</col>	interface	chatButtons	
 <colNum0>Off</col>	<colNum0>关闭</col>	interface	chatButtons	
Combat Achievements - Overview	战斗成就 - 总览	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	总点数：<Num0>- 下次解锁需<Num1>点	interface	combAchvmt	
Difficulty Tiers	难度等级	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	战斗资料 -<!PLAYER_NAME0>	interface	combAchvmt	
Easy	简单	interface	combAchvmt	
Medium	中等	interface	combAchvmt	
Hard	困难	interface	combAchvmt	
Elite	精英	interface	combAchvmt	
Master	大师	interface	combAchvmt	
Grandmaster	宗师	interface	combAchvmt	
Tasks Completed:	已完成任务：	interface	combAchvmt	
Boss Kill Count:	Boss击杀数：	interface	combAchvmt	
Skilling Boss Kill Count:	技能Boss击杀数：	interface	combAchvmt	
Raid Completions:	团队副本完成次数：	interface	combAchvmt	
Top Boss:	最常击杀的Boss：	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0>(<Num0>)	interface	combAchvmt	
Top Skilling Boss:	最常击杀的技能Boss：	interface	combAchvmt	
Top Raid:	最常完成的团队副本：	interface	combAchvmt	
Nothing!	无！	interface	combAchvmt	
Overview	概览	interface	combAchvmt	
Tasks	任务	interface	combAchvmt	
Bosses	Boss	interface	combAchvmt	
Rewards	奖励	interface	combAchvmt	
Combat Achievements - Tasks	战斗成就 - 任务	interface	combAchvmt	
