english	translation	category	sub_category	source
*yawn* I told you human, I'm not interested in following your Saradomin.	*打哈欠* 我告诉过你了人类，我对追随你的萨拉多明没兴趣。	dialogue	Aereck's caged monkey	Monkey
I see you're finally awake!	我看你终于醒了！	dialogue	Aereck's caged monkey	Player
Oh, you're a different human than last time. Well, Marimbo is the only goddess for me and you won't persuade me otherwise.	哦，你和上次那个不一样了。好吧，玛丽姆博才是我唯一的女神，你说破天也没用。	dialogue	Aereck's caged monkey	Monkey
You don't have to worry, I'm not a priest. I won't try to convert you to Saradomin.	你不用担心，我不是祭司。我不会试图让你改信萨拉多明。	dialogue	Aereck's caged monkey	Player
Although, I'm not all that familiar with Marimbo. Is that the god you worship?	不过，我对玛丽姆博不太熟悉。那是你崇拜的神吗？	dialogue	Aereck's caged monkey	Player
Goddess, but yes. All monkeys send their thoughts and prayers to Marimbo.	是女神，没错。所有猴子都会向玛丽姆博献上他们的思绪和祈祷。	dialogue	Aereck's caged monkey	Monkey
I didn't realise monkeys were so religious. You learn something new every day I suppose!	我没想到猴子这么虔诚。真是每天都能学到新东西啊！	dialogue	Aereck's caged monkey	Player
Well, if you could start learning how to open this cage that would be appreciated. I've got a job to do.	好吧，如果你能开始学怎么打开这个笼子就好了。我还有活儿要干。	dialogue	Aereck's caged monkey	Monkey
Oh, sure... I'll get right on it. But it might take me a while to figure it out.	哦，当然……我马上就去。不过搞清楚怎么开可能得花点时间。	dialogue	Aereck's caged monkey	Player
This is the Barbarian Assault arena.	这就是野蛮人突袭竞技场。	dialogue	Barbarian Assault tutorial	Captain Cain
It was established as a battleground to fight a race of creatures called the 'Penance'. The Penance have been created upon this planet by the gods. You see, we have performed many dishonourable deeds over the years	这里被建立为一个战场，用来对抗一种名为'忏悔者'的生物种族。忏悔者是众神在这个星球上创造出来的。你看，这些年来我们犯下了许多不光彩的行为，	dialogue	Barbarian Assault tutorial	Captain Cain
and it's for this that the gods have created these creatures on Gielinor.	正因如此，众神才在吉莱诺尔创造了这些生物。	dialogue	Barbarian Assault tutorial	Captain Cain
Really? How can you be sure?	真的吗？你怎么能确定？	dialogue	Barbarian Assault tutorial	Player
Quiet, you piteous-pool-of-black-dragon-dribble!	闭嘴，你这可怜巴巴的黑龙口水坑！	dialogue	Barbarian Assault tutorial	Captain Cain
We never question what is fact.	我们从不质疑事实。	dialogue	Barbarian Assault tutorial	Captain Cain
What was I saying...?	我刚才说到哪了……？	dialogue	Barbarian Assault tutorial	Captain Cain
Oh yes, we have established this place for all to pay their debt to the gods, through combat. For this is the only true honour.	哦对了，我们建立这个地方，是为了让所有人通过战斗向众神偿还他们的罪孽。因为这才是唯一的真正荣誉。	dialogue	Barbarian Assault tutorial	Captain Cain
Isn't fighting wrong?	战斗难道不是错误的吗？	dialogue	Barbarian Assault tutorial	Player
What...?	什么……？	dialogue	Barbarian Assault tutorial	Captain Cain
Just ignore me, I don't really know what I'm saying.	别理我，我自己都不知道在说什么。	dialogue	Barbarian Assault tutorial	Player
