english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	敏捷既能提高你在非奔跑状态下跑步值的恢复速度，也能降低你在奔跑时跑步值的消耗速度。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	你还将获得穿越基利诺尔的捷径权限，这些捷径在你的地图上以绿色箭头标记。	lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	为了训练你的敏捷技能，你需要前往敏捷训练场。这些训练场有一系列的障碍，完成后会给予经验值奖励。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.	你现在可以使用法拉多城的捷径和谢兹恩基础敏捷训练场。	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	会员可以使用秘银抓钩穿越仑河往返阿尔卡里德城。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	你现在可以使用绳索秋千前往苔藓巨人岛，以及使用海盗湾的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.	会员可以使用秘银抓钩攀爬法拉多城南墙。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.	你现在可以使用卡拉姆詹地牢中的踏脚石捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.	你现在可以跳过维洛克城南部的栅栏。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	你现在可以使用边陲镇下方的攀爬架和海盗湾地牢的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Yanille Agility shortcut.	你现在可以使用亚尼勒城的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use a Kourend Catacombs Agility shortcut.	你现在可以使用库兰德王国地下墓穴的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	你现在可以使用阿尔卡里德敏捷训练场，和通过敏捷竞技场的中级难度障碍，以及穿越煤车的独木桥捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Grand Exchange Agility shortcut.	你现在可以使用大交易所的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon.	你现在可以使用卡拉姆詹地牢中的管道捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale the Observatory cliff with a mithril grapple.	会员可以使用秘银抓钩攀爬天文台悬崖。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	你现在可以进入狼人骷髅球敏捷训练场，以及使用悬崖攀爬捷径登上鹰峰。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut.	你现在可以使用法拉多城的捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Kourend Catacombs pillar jump Agility shortcut.	你现在可以使用库兰德王国地下墓穴的石柱跳跃捷径。	lvl_up_msg	Transcript of Agility	Transcript of Agility
